,Indicator_EN,Indicator_AR,Variable_EN - Final Discharge,Variable_AR - Final Discharge,Unit_EN,Unit_AR,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value
127,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Dubai,دبي,2014,2014,213719847.73950332
128,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,83116188
129,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,24689330
130,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
131,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,12576075
132,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,6059182
133,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,Million M3,مليون م 3,Total ,المجموع ,2014,2014,653100432.7345059
134,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Treated Wasewater,المياه العادمة المعالجة,%,%,Total %,المجموع %,2014,2014,100
135,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,191735137.58376682
136,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Dubai,دبي,2014,2014,179990302.2 *
137,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,48437842
138,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,2648000
139,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
140,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,8360325
141,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,81118
142,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,Million M3,مليون م 3,Total ,المجموع ,2014,2014,431252724.7837668
143,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Irrigation,الري,%,%,Total %,المجموع %,2014,2014,66.03160910154791
144,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,115748467.80968125
145,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Dubai,دبي,2014,2014,32973416
146,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,33641411
147,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,17603984
148,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
149,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,3248500
150,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2014,2014,5932198
151,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Total ,المجموع ,2014,2014,209147976.80968124
152,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2014,2014,32.02386131241513
153,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2014,2014,5456204.601554529
154,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Dubai,دبي,2014,2014,756129.5 **
155,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Sharjah,الشارقة  ,2014,2014,1036935
156,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ajman,عجمان   ,2014,2014,4437346
157,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2014,2014,0
158,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2014,2014,967250
